mean_speed,max_acceleration,course_changes,modal
9.667988,2.841137,9,car
17.439467,1.758309,4,car
16.822755,1.199685,19,car
19.727768,0.856165,12,car
21.544589,1.59741,18,car
22.423898,0.896158,5,car
21.166797,1.276323,10,car
14.171344,0.665718,3,car
16.280335,2.7513,8,car
19.850162,0.86738,21,car
10.153581,2.157674,5,car
3.238294,1.58468,2,car
7.030473,2.116656,7,car
5.760873,1.010306,2,car
0.981966,1.410248,2,car
1.375744,1.477515,2,car
3.545639,0.85649,0,car
2.231349,2.349294,7,car
0.521224,0.320111,3,car
0.531304,0.361532,9,car
0.228015,0,0,car
13.813551,2.002915,16,car
13.784728,1.119248,2,car
20.366448,1.387358,20,car
20.432032,1.878778,13,car
12.583214,1.27529,12,car
18.018673,1.537816,19,car
18.347538,0.99269,12,car
9.103112,1.670228,4,car
14.130612,1.395287,12,car
21.571082,1.165125,6,car
22.310895,2.503229,16,car
17.11225,2.995871,12,car
18.521561,12.029292,3,car
3.134532,1.68893,17,car
0.574003,0.414214,18,car
2.512013,1.339721,16,car
1.140713,0.688611,8,car
2.615491,2.745531,6,car
1.297934,0.815678,0,car
4.963923,1.561971,5,car
3.589167,2.949094,3,car
5.071347,1.302075,10,car
18.245131,0.583023,3,car
11.093743,1.963945,17,car
19.240607,1.910843,11,car
19.217896,1.827786,7,car
22.438274,2.749115,8,car
22.637995,1.314488,10,car
22.101984,1.324585,11,car
21.730115,1.683773,22,car
6.375642,2.688368,10,car
14.459672,3.471826,16,car
19.462907,1.473626,11,car
18.746119,1.807172,23,car
12.051661,1.480499,3,car
13.068391,1.91196,4,car
9.873215,2.20438,32,car
1.519758,0.891796,23,car
0.270442,0.328667,10,car
0.184112,0.15519,6,car
2.135769,6.674853,2,car
6.857914,5.07513,6,car
7.930428,4.265479,1,car
5.392508,4.493094,7,car
3.724542,4.056608,10,car
2.103283,1.770375,6,car
3.504253,2.162241,2,car
8.162076,2.292497,7,car
13.440345,2.564866,23,car
14.161666,1.338787,8,car
17.692524,2.175087,17,car
13.642368,3.026723,18,car
9.034009,2.051794,1,car
8.675743,3.80084,14,car
5.310515,1.919424,12,car
3.965866,0.98908,2,car
7.727572,3.4674,14,car
0.51921,0.786334,12,car
3.165029,1.269417,6,car
9.545063,2.060653,2,car
7.45419,3.329284,12,car
4.632452,3.71138,0,car
5.552726,1.034501,5,car
2.368508,6.264043,5,car
4.554596,2.199448,22,car
1.355643,2.493824,0,car
1.320888,2.089157,0,car
1.425634,2.757922,3,car
1.873513,1.086003,15,car
0.659287,0.392474,2,car
2.880221,4.169961,7,car
6.403404,1.985098,8,car
5.955508,2.517493,1,car
9.199688,1.980361,5,car
10.789332,4.687274,2,car
8.439214,2.349601,4,car
3.346562,2.353802,5,car
0.671017,0.223206,1,car
5.680764,1.476943,21,car
2.046385,1.749308,12,car
1.030142,2.364654,1,car
4.344332,2.410353,4,car
3.991456,2.440002,2,car
1.45011,2.425794,3,car
1.654426,4.07186,5,car
13.457935,2.37767,19,car
10.648621,1.77515,9,car
1.934282,1.26075,10,car
3.171912,3.130235,1,car
9.397259,2.087334,7,car
9.760647,0.876468,42,car
9.568276,1.561487,20,car
5.869525,1.828157,9,car
13.044592,0.832855,5,car
12.780735,0.716154,9,car
6.191004,1.271935,12,car
12.073896,1.032124,33,car
13.98301,0.822698,39,car
10.92912,1.986862,10,car
6.402785,1.256824,6,car
8.057192,1.722168,11,car
9.689253,0.997575,16,car
8.737677,1.864936,15,car
10.993576,2.058233,17,car
9.907648,2.424138,21,car
11.751764,1.55054,15,car
7.081505,0.639404,13,car
1.77803,1.62035,14,car
0.315724,0.320404,32,car
4.652873,2.680107,19,car
11.020826,1.621818,6,car
5.971167,3.721742,20,car
1.855336,3.581599,18,car
0.05601,0.044947,3,car
0.28738,0.101754,0,car
10.546082,2.865201,3,car
2.788561,4.112405,19,car
6.573736,3.967627,23,car
12.032474,2.424913,11,car
4.826244,0.533481,14,car
1.748805,0.838279,3,car
1.096871,1.193504,3,car
1.359058,1.375656,11,car
0.612687,0.747083,0,car
1.398856,3.059043,1,car
11.733059,2.58646,7,car
21.603498,1.456032,13,car
19.554911,1.925009,31,car
15.381284,1.40994,13,car
1.605702,1.057019,5,car
0.093774,0.592297,1,car
5.070561,1.956847,11,car
8.029796,3.082267,11,car
0.562345,0.37715,16,car
1.151147,0.129317,34,car
8.354144,2.327455,6,car
8.139143,4.205277,7,car
6.718812,1.677948,11,car
13.649389,0.038319,2,car
17.345436,1.200363,17,car
22.222345,1.134707,6,car
13.262229,5.350811,18,car
8.063854,3.310651,0,car
4.874606,0.809554,0,car
4.607806,4.48725,0,car
3.480617,1.278899,0,car
5.018544,1.434983,2,car
3.729548,1.26746,11,car
2.272781,1.660462,2,car
1.986831,2.417008,7,car
3.535915,2.708573,0,car
9.536055,8.37104,0,car
14.423139,7.868181,15,car
17.288724,3.726259,12,car
20.493843,1.095678,11,car
16.326826,3.250555,4,car
13.042135,2.089119,15,car
11.727972,1.73259,5,car
7.063899,1.524472,10,car
12.991558,3.309983,20,car
8.426184,5.481222,7,car
7.668262,5.904346,16,car
13.53132,4.804688,9,car
18.495414,1.489134,11,car
15.810437,2.299591,15,car
2.329584,2.833457,9,car
10.687828,1.991699,0,car
6.740289,3.034147,2,car
4.155076,2.390728,15,car
2.46236,4.191471,16,car
5.515843,4.317686,13,car
1.819069,2.441628,9,car
2.611911,1.710272,21,car
1.655878,0.860885,0,car
1.067001,0.898146,3,car
17.437297,0.242502,1,car
19.425809,2.16222,29,car
13.220932,1.527845,11,car
4.58895,1.891323,2,car
2.195002,3.854888,0,car
3.663529,2.641442,2,car
3.892952,4.156699,2,car
1.064807,1.09631,6,car
13.973222,1.904068,15,car
15.320027,1.652532,2,car
21.806864,10.64705,19,car
20.119234,3.030421,14,car
12.819622,2.627925,11,car
1.593032,1.627125,1,car
4.617487,1.243154,8,car
4.701293,2.96381,6,car
9.392116,2.654212,3,car
3.346254,6.524319,1,car
3.465324,2.878303,5,car
0.592793,0.511384,8,car
0.810281,0.309406,9,car
6.438106,2.086976,7,car
4.786108,1.600144,6,car
9.014671,3.435305,8,car
9.573309,2.790048,10,car
11.97621,0.037711,2,car
17.674318,1.750141,17,car
19.365693,2.977016,3,car
9.991058,1.436389,22,car
22.453243,2.609959,10,car
25.995777,1.017212,6,car
28.156321,0.917019,8,car
19.672941,0.718683,9,car
8.946818,5.703347,21,car
8.825645,1.900422,4,car
3.292084,1.16284,8,car
10.197466,2.282128,21,car
5.802416,2.508693,9,car
4.336177,2.256174,0,car
6.004366,2.562179,2,car
2.04554,1.231016,3,car
2.553085,3.021223,1,car
4.884848,1.421857,11,car
18.608594,2.559517,20,car
22.972691,2.846164,1,car
23.54957,0.755776,0,car
22.845018,0.287241,0,car
25.096131,0.690029,5,car
23.897546,4.196323,3,car
21.54679,1.963621,17,car
14.021481,3.154258,14,car
17.241008,2.761258,16,car
19.003007,1.255144,12,car
20.466093,0.863939,3,car
9.643545,2.034637,1,car
2.939975,3.066634,2,car
1.049246,1.905039,1,car
0.763439,1.874568,3,car
1.110704,0.811837,0,car
3.367644,4.817107,2,car
2.470885,1.89347,11,car
0.526448,0.397638,2,car
0.235607,0.00101,0,car
5.962875,2.66509,9,car
8.803506,3.043688,10,car
6.478562,1.896735,7,car
11.654299,1.367551,20,car
2.515959,1.033425,0,car
2.001216,2.16346,14,car
1.112527,1.787774,0,car
1.237831,3.006829,3,car
0.950952,0.500979,4,car
0.499688,0.319996,22,car
2.440669,0.834091,30,car
3.707764,4.268179,10,car
1.608239,1.48059,2,car
0.900315,1.050206,1,car
1.397713,0.699512,0,car
0.633802,4.156266,4,car
3.135642,3.819171,0,car
13.66592,1.799135,0,car
13.637729,2.829221,28,car
16.64124,1.177786,4,car
15.207171,1.132285,10,car
12.670492,0.183464,5,car
10.928392,4.159691,12,car
5.30796,3.713584,10,car
5.33808,2.823904,9,car
0.163677,0.84467,2,car
5.193335,1.038538,7,car
4.856578,2.868811,7,car
1.008769,0.5061,23,car
0.814858,1.484097,26,car
2.381504,1.511487,11,car
2.333612,1.451858,8,car
0.85053,4.489962,1,car
2.250589,2.291489,22,car
